codigo_fez,carater_fez,creditos_fez,codigo_obtem,carater_obtem,creditos_obtem,nome_regra,nome_fez,nome_obtem,tipo_regra
INF01202,Obrigatória,6.0,inf01202,Obrigatória,6.0,INF01202=inf01202,ALGORÍTMOS E PROGRAMAÇÃO - CIC,ALGORÍTMOS E PROGRAMAÇÃO - CIC,mapeamento direto
MAT01353,Obrigatória,6.0,mat01353,Obrigatória,6.0,MAT01353=mat01353,CÁLCULO E GEOMETRIA ANALÍTICA I - A,CÁLCULO E GEOMETRIA ANALÍTICA I - A,mapeamento direto
FIS01181,Obrigatória,6.0,fis01181,Obrigatória,6.0,FIS01181=fis01181,FÍSICA I-C,FÍSICA I-C,mapeamento direto
ECP99002,Obrigatória,2.0,ecp99002,Obrigatória,2.0,ECP99002=ecp99002,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,mapeamento direto
INF05508,Obrigatória,4.0,inf05508,Obrigatória,4.0,INF05508=inf05508,LÓGICA PARA COMPUTAÇÃO,LÓGICA PARA COMPUTAÇÃO,mapeamento direto
MAT01355,Obrigatória,4.0,mat01355,Obrigatória,4.0,MAT01355=mat01355,ÁLGEBRA LINEAR I - A,ÁLGEBRA LINEAR I - A,mapeamento direto
INF01108,Obrigatória,4.0,arq,Obrigatória,4.0,INF01108=arq,ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I,ARQUITETURA DE COMPUTADORES,mapeamento não direto
MAT01354,Obrigatória,6.0,mat01354,Obrigatória,6.0,MAT01354=mat01354,CÁLCULO E GEOMETRIA ANALÍTICA II - A,CÁLCULO E GEOMETRIA ANALÍTICA II - A,mapeamento direto
INF01203,Obrigatória,4.0,inf01203,Obrigatória,4.0,INF01203=inf01203,ESTRUTURAS DE DADOS,ESTRUTURAS DE DADOS,mapeamento direto
FIS01182,Obrigatória,6.0,fis01182,Obrigatória,6.0,FIS01182=fis01182,FÍSICA GERAL - ELETROMAGNETISMO,FÍSICA GERAL - ELETROMAGNETISMO,mapeamento direto
MAT01375,Obrigatória,4.0,mat01375,Obrigatória,4.0,MAT01375=mat01375,MATEMÁTICA DISCRETA B,MATEMÁTICA DISCRETA B,mapeamento direto
INF01120,Obrigatória,4.0,inf01120,Obrigatória,4.0,INF01120=inf01120,TÉCNICAS DE CONSTRUÇÃO DE PROGRAMAS,DESENVOLVIMENTO DE SOFTWARE,mapeamento não direto
MAT01167,Obrigatória,6.0,mat01167,Obrigatória,6.0,MAT01167=mat01167,EQUAÇÕES DIFERENCIAIS II,EQUAÇÕES DIFERENCIAIS II,mapeamento direto
FIS01183,Obrigatória,6.0,fis01183,Obrigatória,6.0,FIS01183=fis01183,FÍSICA III-C,FÍSICA III-C,mapeamento direto
INF01058,Obrigatória,4.0,cdnovo,Obrigatória,6.0,INF01058=cdnovo,CIRCUITOS DIGITAIS,PROJETO DE CIRCUITOS DIGITAIS,mudança no número de créditos
INF05512,Eletiva,4.0,paa1,Obrigatória,4.0,INF05512=paa1,TEORIA DOS GRAFOS E ANÁLISE COMBINATÓRIA,PROJETO E ANÁLISE DE ALGORITMOS I,mudança de caráter
ENG10001,Obrigatória,4.0,eng10001,Obrigatória,4.0,ENG10001=eng10001,CIRCUITOS ELÉTRICOS I - C,CIRCUITOS ELÉTRICOS I - C,mapeamento direto
MAT01168,Obrigatória,6.0,mat01168,Obrigatória,6.0,MAT01168=mat01168,MATEMÁTICA APLICADA II,MATEMÁTICA APLICADA II,mapeamento direto
MAT02219,Obrigatória,4.0,mat02219,Obrigatória,4.0,MAT02219=mat02219,PROBABILIDADE E ESTATÍSTICA,PROBABILIDADE E ESTATÍSTICA,mapeamento direto
MAT02050,,,mat02050,,,MAT02050=mat02050,,,
INF01113,Obrigatória,4.0,inf01113,Obrigatória,4.0,INF01113=inf01113,ORGANIZAÇÃO DE COMPUTADORES B,ORGANIZAÇÃO DE COMPUTADORES,mapeamento direto
INF05501,Obrigatória,4.0,teocompecp,Obrigatória,4.0,INF05501=teocompecp,TEORIA DA COMPUTAÇÃO N,TEORIA DA COMPUTAÇÃO,mapeamento direto
INF01146,Eletiva,4.0,inf01146,Eletiva,4.0,INF01146=inf01146,AVALIAÇÃO DE DESEMPENHO,AVALIAÇÃO DE DESEMPENHO,mapeamento direto
ENG10002,Obrigatória,4.0,eng10002,Obrigatória,4.0,ENG10002=eng10002,CIRCUITOS ELÉTRICOS II - C,CIRCUITOS ELÉTRICOS II - C,mapeamento direto
INF01127,Obrigatória,4.0,inf01127,Obrigatória,4.0,INF01127=inf01127,ENGENHARIA DE SOFTWARE N,ENGENHARIA DE SOFTWARE N,mapeamento direto
INF01049,Eletiva,2.0,inf01049,Eletiva,2.0,INF01049=inf01049,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,INTRODUÇÃO À PESQUISA EM INFORMÁTICA,mapeamento direto
INF01175,Obrigatória,4.0,inf01175,Obrigatória,4.0,INF01175=inf01175,SISTEMAS DIGITAIS PARA COMPUTADORES A,SISTEMAS DIGITAIS PARA COMPUTADORES A,mapeamento direto
INF01142,Obrigatória,4.0,inf01142,Obrigatória,4.0,INF01142=inf01142,SISTEMAS OPERACIONAIS I N,SISTEMAS OPERACIONAIS I N,mapeamento direto
ENG04010,Obrigatória,4.0,eng04010,Obrigatória,4.0,ENG04010=eng04010,TEORIA ELETROMAGNÉTICA E ONDAS,TEORIA ELETROMAGNÉTICA E ONDAS,mapeamento direto
INF01185,Obrigatória,4.0,inf01185,Obrigatória,4.0,INF01185=inf01185,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,CONCEPÇÃO DE CIRCUITOS INTEGRADOS I,mapeamento direto
ENG10044,,,eng10044,,,ENG10044=eng10044,,,
INF01048,Eletiva,4.0,inf01048,Eletiva,4.0,INF01048=inf01048,INTELIGÊNCIA ARTIFICIAL,INTELIGÊNCIA ARTIFICIAL,mapeamento direto
ENG10003,Obrigatória,2.0,eng10003,Obrigatória,2.0,ENG10003=eng10003,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,LABORATÓRIO DE CIRCUITOS ELÉTRICOS,mapeamento direto
INF01154,Obrigatória,6.0,redes,Obrigatória,4.0,INF01154=redes,REDES DE COMPUTADORES N,REDES DE COMPUTADORES E INTERNET,mudança no número de créditos
INF01154,Obrigatória,6.0,labinternet,Obrigatória,2.0,INF01154=labinternet,REDES DE COMPUTADORES N,LABORATÓRIO DE REDES DE COMPUTADORES,mudança no número de créditos
ENG10017,Eletiva,6.0,eng10017,Eletiva,6.0,ENG10017=eng10017,SISTEMAS E SINAIS,SISTEMAS E SINAIS,mapeamento direto
INF01151,Obrigatória,4.0,sdtf,Obrigatória,4.0,INF01151=sdtf,SISTEMAS OPERACIONAIS II N,SISTEMAS DISTRIBUÍDOS E TOLERANTES A FALHAS,mapeamento não direto
INF01191,Eletiva,4.0,inf01191,Eletiva,4.0,INF01191=inf01191,ARQUITETURAS AVANÇADAS DE COMPUTADORES,ARQUITETURAS AVANÇADAS DE COMPUTADORES,mapeamento direto
MAT01169,Eletiva,6.0,mat01169,Eletiva,6.0,MAT01169=mat01169,CÁLCULO NUMÉRICO,CÁLCULO NUMÉRICO,mapeamento direto
ENG04078,Eletiva,4.0,eng04078,Eletiva,4.0,ENG04078=eng04078,CIRCUITOS ELETRÔNICOS II,CIRCUITOS ELETRÔNICOS II,mapeamento direto
INF01147,Obrigatória,4.0,lp2,Eletiva,4.0,INF01147=lp2,COMPILADORES,COMPILADORES II,mudança de caráter
INF01194,Obrigatória,4.0,inf01194,Obrigatória,4.0,INF01194=inf01194,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,CONCEPÇÃO DE CIRCUITOS INTEGRADOS II,mapeamento direto
INF01001,Eletiva,4.0,inf01001,Eletiva,4.0,INF01001=inf01001,ESPECIFICAÇÃO FORMAL N,ESPECIFICAÇÃO FORMAL N,mapeamento direto
INF01047,Eletiva,4.0,inf01047,Eletiva,4.0,INF01047=inf01047,FUNDAMENTOS DE COMPUTAÇÃO GRÁFICA,COMPUTAÇÃO GRÁFICA E VISUALIZAÇÃO I,mapeamento não direto
ENG10032,Eletiva,2.0,eng10032,Eletiva,2.0,ENG10032=eng10032,MICROCONTROLADORES,MICROCONTROLADORES,mapeamento direto
ENG10004,Eletiva,4.0,eng10004,Eletiva,4.0,ENG10004=eng10004,SISTEMAS DE CONTROLE I - B,SISTEMAS DE CONTROLE I - B,mapeamento direto
INF01008,Eletiva,4.0,inf01008,Eletiva,4.0,INF01008=inf01008,PROGRAMAÇÃO DISTRIBUÍDA E PARALELA,PROGRAMAÇÃO PARALELA,mapeamento não direto
INF01017,Eletiva,4.0,inf01017,Eletiva,4.0,INF01017=inf01017,APRENDIZADO DE MÁQUINA,APRENDIZADO DE MÁQUINA,mapeamento direto
ENG04061,Eletiva,4.0,eng04061,Eletiva,4.0,ENG04061=eng04061,CIRCUITOS ELETRÔNICOS INTEGRADOS,CIRCUITOS ELETRÔNICOS INTEGRADOS,mapeamento direto
ENG04055,Eletiva,4.0,eng04055,Eletiva,4.0,ENG04055=eng04055,CIRCUITOS INTEGRADOS ANALÓGICOS,CIRCUITOS INTEGRADOS ANALÓGICOS,mapeamento direto
ECO02254,Adicional,4.0,eco02254,Adicional,4.0,ECO02254=eco02254,ECONOMIA A,ECONOMIA A,mapeamento direto
INF01046,Eletiva,4.0,inf01046,Eletiva,4.0,INF01046=inf01046,FUNDAMENTOS DE PROCESSAMENTO DE IMAGENS,PROCESSAMENTO DE IMAGENS E VISÃO COMPUTACIONAL I,mapeamento não direto
ENG10005,Eletiva,2.0,eng10005,Eletiva,2.0,ENG10005=eng10005,LABORATÓRIO DE CONTROLE,LABORATÓRIO DE CONTROLE,mapeamento direto
INF01002,Eletiva,4.0,inf01002,Eletiva,4.0,INF01002=inf01002,PROTOCOLOS DE COMUNICAÇÃO,SERVIÇOS AVANÇADOS EM REDES DE COMPUTADORES,mapeamento não direto
ENG10026,Eletiva,4.0,eng10026,Eletiva,4.0,ENG10026=eng10026,ROBÓTICA A,ROBÓTICA A,mapeamento direto
INF01050,Eletiva,4.0,inf01050,Eletiva,4.0,INF01050=inf01050,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO I,mapeamento direto
ENG04041,Eletiva,2.0,eng04041,Eletiva,2.0,ENG04041=eng04041,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO III,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO III,mapeamento direto
INF05024,Eletiva,2.0,inf05024,Eletiva,2.0,INF05024=inf05024,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO V,mapeamento direto
ADM01134,Adicional,4.0,adm01134,Adicional,4.0,ADM01134=adm01134,ADMINISTRAÇÃO E FINANÇAS,ADMINISTRAÇÃO E FINANÇAS,mapeamento direto
INF01205,Eletiva,4.0,inf01205,Eletiva,4.0,INF01205=inf01205,CAD PARA SISTEMAS DIGITAIS,CAD PARA SISTEMAS DIGITAIS,mapeamento direto
INF01005,Eletiva,4.0,inf01005,Eletiva,4.0,INF01005=inf01005,COMUNICAÇÃO DE DADOS,COMUNICAÇÃO DE DADOS E TECNOLOGIAS DE REDES EMERGENTES,mapeamento não direto
ENG10051,Eletiva,4.0,eng10051,Eletiva,4.0,ENG10051=eng10051,DINÂMICA E CONTROLE DE ROBÔS,DINÂMICA E CONTROLE DE ROBÔS,mapeamento direto
ENG04457,Eletiva,4.0,eng04457,Eletiva,4.0,ENG04457=eng04457,INSTRUMENTAÇÃO A,INSTRUMENTAÇÃO A,mapeamento direto
ENG10052,Eletiva,2.0,eng10052,Eletiva,2.0,ENG10052=eng10052,LABORATÓRIO DE ROBÓTICA,LABORATÓRIO DE ROBÓTICA,mapeamento direto
ENG04476,Eletiva,5.0,eng04476,Eletiva,5.0,ENG04476=eng04476,MICROPROCESSADORES II,MICROPROCESSADORES II,mapeamento direto
ECP99001,,,ecp99001,,,ECP99001=ecp99001,,,
INF01034,Eletiva,4.0,inf01034,Eletiva,4.0,INF01034=inf01034,ROBÓTICA II,ROBÓTICA MÓVEL INTELIGENTE,mapeamento não direto
INF01045,Eletiva,4.0,inf01045,Eletiva,4.0,INF01045=inf01045,SEGURANÇA EM SISTEMAS DE COMPUTAÇÃO,CIBERSEGURANÇA,mapeamento não direto
ENG10019,Eletiva,4.0,eng10019,Eletiva,4.0,ENG10019=eng10019,SISTEMAS DE CONTROLE DIGITAIS,SISTEMAS DE CONTROLE DIGITAIS,mapeamento direto
ENG10018,Eletiva,4.0,eng10018,Eletiva,4.0,ENG10018=eng10018,SISTEMAS DE CONTROLE II,SISTEMAS DE CONTROLE II,mapeamento direto
HUM04020,Adicional,4.0,hum04020,Adicional,4.0,HUM04020=hum04020,SOCIEDADE DA INFORMAÇÃO,SOCIEDADE DA INFORMAÇÃO,mapeamento direto
ENG04034,Eletiva,4.0,eng04034,Eletiva,4.0,ENG04034=eng04034,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO II,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO II,mapeamento direto
INF01053,Eletiva,2.0,inf01053,Eletiva,2.0,INF01053=inf01053,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IV,mapeamento direto
INF05025,Eletiva,2.0,inf05025,Eletiva,2.0,INF05025=inf05025,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VI,mapeamento direto
ENG04063,Eletiva,4.0,eng04063,Eletiva,4.0,ENG04063=eng04063,DISPOSITIVOS SEMICONDUTORES,DISPOSITIVOS SEMICONDUTORES,mapeamento direto
INF01032,Eletiva,4.0,inf01032,Eletiva,4.0,INF01032=inf01032,EMPREENDIMENTO EM INFORMÁTICA,EMPREENDIMENTO EM INFORMÁTICA,mapeamento direto
INF01213,Adicional,4.0,inf01213,Adicional,4.0,INF01213=inf01213,FOTOGRAFIA COMPUTACIONAL,FOTOGRAFIA COMPUTACIONAL,mapeamento direto
INF01145,Eletiva,4.0,inf01145,Eletiva,4.0,INF01145=inf01145,FUNDAMENTOS DE BANCO DE DADOS,BANCOS DE DADOS,mapeamento não direto
EDU03071,Eletiva,2.0,edu03071,Eletiva,2.0,EDU03071=edu03071,LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),LÍNGUA BRASILEIRA DE SINAIS (LIBRAS),mapeamento direto
ENG04434,Eletiva,4.0,eng04434,Eletiva,4.0,ENG04434=eng04434,PRINCÍPIOS DE COMUNICAÇÃO,PRINCÍPIOS DE COMUNICAÇÃO,mapeamento direto
ENG04477,Eletiva,4.0,eng04477,Eletiva,4.0,ENG04477=eng04477,PROCESSAMENTO DIGITAL DE SINAIS,PROCESSAMENTO DIGITAL DE SINAIS,mapeamento direto
INF01059,Eletiva,4.0,inf01059,Eletiva,4.0,INF01059=inf01059,SISTEMAS EMBARCADOS,SISTEMAS EMBARCADOS: FUNDAMENTOS E ARQUITETURAS,mapeamento não direto
ENG04057,Eletiva,4.0,eng04057,Eletiva,4.0,ENG04057=eng04057,TESTE DE SISTEMAS ELETRÔNICOS,TESTE DE SISTEMAS ELETRÔNICOS,mapeamento direto
INF05026,Adicional,4.0,inf05026,Adicional,4.0,INF05026=inf05026,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VII,mapeamento direto
INF01030,Eletiva,4.0,inf01030,Eletiva,4.0,INF01030=inf01030,FUNDAMENTOS DE VISÃO COMPUTACIONAL,VISÃO COMPUTACIONAL II,mapeamento não direto
INF01216,Eletiva,4.0,inf01216,Eletiva,4.0,INF01216=inf01216,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,MODELAGEM E GERENCIAMENTO DE PROCESSOS DE NEGÓCIO,mapeamento direto
ENG10055,Eletiva,4.0,eng10055,Eletiva,4.0,ENG10055=eng10055,SISTEMAS DE TEMPO REAL - I,SISTEMAS DE TEMPO REAL - I,mapeamento direto
INF05009,Eletiva,4.0,inf05009,Eletiva,4.0,INF05009=inf05009,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,TÓPICOS ESPECIAIS EM COMPUTAÇÃO IX,mapeamento direto
INF01054,Eletiva,4.0,inf01054,Eletiva,4.0,INF01054=inf01054,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VII,mapeamento direto
INF01055,Eletiva,4.0,inf01055,Eletiva,4.0,INF01055=inf01055,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO VIII,mapeamento direto
INF01063,Eletiva,4.0,inf01063,Eletiva,4.0,INF01063=inf01063,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XII,mapeamento direto
INF05013,Eletiva,4.0,inf05013,Eletiva,4.0,INF05013=inf05013,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,TÓPICOS ESPECIAIS EM COMPUTAÇÃO XV,mapeamento direto
ENG10057,Eletiva,4.0,eng10057,Eletiva,4.0,ENG10057=eng10057,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO IX,mapeamento direto
ENG10056,Eletiva,2.0,eng10056,Eletiva,2.0,ENG10056=eng10056,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO VIII,mapeamento direto
ENG10058,Eletiva,6.0,eng10058,Eletiva,6.0,ENG10058=eng10058,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,TÓPICOS ESPECIAIS EM ENGENHARIA DE COMPUTAÇÃO X,mapeamento direto
ENG04038,Eletiva,6.0,eng04038,Eletiva,6.0,ENG04038=eng04038,ELETRÔNICA III,ELETRÔNICA III,mapeamento direto
ENG04065,Eletiva,4.0,eng04065,Eletiva,4.0,ENG04065=eng04065,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,PROJETO DE SISTEMAS ANALÓGICOS E MISTOS INTEGRADOS,mapeamento direto
ENG04064,Eletiva,4.0,eng04064,Eletiva,4.0,ENG04064=eng04064,PROJETO DE SISTEMAS DE RF INTEGRADOS,PROJETO DE SISTEMAS DE RF INTEGRADOS,mapeamento direto
ENG10054,Eletiva,4.0,eng10054,Eletiva,4.0,ENG10054=eng10054,ROBÓTICA MÓVEL,ROBÓTICA MÓVEL,mapeamento direto
ENG04077,Obrigatória,6.0,eng04077,Obrigatória,6.0,ENG04077=eng04077,CIRCUITOS ELETRÔNICOS I,CIRCUITOS ELETRÔNICOS I,mapeamento direto
